year_ID,player_name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,playerid
2018,Jordan Hicks,Cardinals,77.2,101.7,,,101,,86.8,83.6,,,,19618
2018,Tayron Guerrero,Marlins,58,99.4,,,,94.2,86.5,,,,,11691
2018,Aroldis Chapman,Yankees,51.1,99.1,,,101.5,91.2,86.5,,,,,10233
2018,Joe Kelly,Red Sox,65.2,98.5,,,97.9,88,88.1,84.5,,,,9761
2018,Felipe Vazquez,Pirates,70,98.5,,,99.2,89,86.8,82,,,,12076
2018,Ryne Stanek,Rays,66.1,98.4,,88.6,,,89.5,,,,,15947
2018,Seranthony Dominguez,Phillies,58,98.4,,,98.6,91.6,89.2,,,,,19249
2018,Blake Treinen,Athletics,80.1,98.2,94.3,,98,,89.7,,,,,12572
2018,Lou Trivino,Athletics,74,98.2,93,,98.4,88.9,,81.7,,,,15043
2018,Noah Syndergaard,Mets,154.1,98.1,,,98,90.9,92.6,83.6,,,,11762
2018,Diego Castillo,Rays,56.2,98,,,99.8,,89.3,,,,,17496
2018,Jose Alvarado,Rays,64,98,89.7,,,,88,84.9,,,,17780
2018,Luis Severino,Yankees,191.1,97.9,92.5,,,88.4,88.4,,,,,15890
2018,Dellin Betances,Yankees,66.2,97.9,,,,90.1,,85.4,,,,6216
2018,Edwin Diaz,Mariners,73.1,97.9,,,,94.5,89.7,,,,,14710
2018,Justin Anderson,Angels,55.1,97.8,,,96.8,86.9,86.1,80.5,,,,16201
2018,Luis Garcia,Phillies,46,97.8,,,,87.5,85.4,,,,,6984
2018,Hector Rondon,Astros,59,97.6,,,97.5,92,87.1,,,,,2391
2018,Ken Giles,- - -,50.1,97.6,,,,,86.9,,,,,12910
2018,Reyes Moronta,Giants,65,97.5,,,,87.6,83,79.9,,,,14966
2018,Craig Kimbrel,Red Sox,62.1,97.5,,,,91.4,,86.9,,,,6655
2018,Nathan Eovaldi,- - -,111,97.5,93,88.5,96.1,,86.9,79,,,,9132
2018,Shohei Ohtani,Angels,51.2,97.4,,88,98.4,,82.2,74.6,,,,19755
2018,Tanner Scott,Orioles,53.1,97.4,,,,,89,,,,,17586
2018,Corey Knebel,Brewers,55.1,97.4,,,,,,82,,,,15010
2018,Keone Kela,- - -,52,97.4,,,,91.7,,83.6,,,,14696
2018,Tyler Glasnow,- - -,111.2,97.3,,,,92.4,85.5,83.9,,,,14374
2018,Jeurys Familia,- - -,72,97,,92.2,96.6,,88.4,,,,,5114
2018,Gerrit Cole,Astros,200.1,97,,,96.5,88.2,89.1,82.9,,,,13125
2018,Matt Barnes,Red Sox,61.2,96.9,,89.8,,,84.9,84.9,,,,12863
2018,Kelvin Herrera,- - -,44.1,96.9,,,,88.7,81,80.1,,,,6033
2018,A.J. Minter,Braves,61.1,96.9,,,,86.6,92.1,,,,,18655
2018,Frankie Montas,Athletics,65,96.9,,,96.1,88,86.5,,,,,14309
2018,Mike Foltynewicz,Braves,183,96.8,,,97,88.3,87.2,80.4,,,,10811
2018,Tommy Hunter,Phillies,64,96.8,93.9,,96.2,,84.7,84.9,,,,1157
2018,Jacob deGrom,Mets,217,96.7,,,96.1,89.6,91.6,83.2,,,,10954
2018,Walker Buehler,Dodgers,137.1,96.6,91.6,,96.4,90.4,86.7,80.5,,,,19374
2018,Mike Mayers,Cardinals,51.2,96.6,,,,90,87.3,79.8,,,,15451
2018,Charlie Morton,Astros,167,96.6,89.1,87.7,95.5,87.4,86.7,80,,,,4676
2018,Pedro Baez,Dodgers,56.1,96.5,,,96.2,87.3,88.5,,,,,5420
