"Name","Team","WHIP","playerid"
"Blake Treinen","Athletics","0.83","12572"
"Jeremy Jeffress","Brewers","0.99","9490"
"Jose Leclerc","Rangers","0.85","14524"
"Sean Doolittle","Nationals","0.60","1581"
"Jacob deGrom","Mets","0.91","10954"
"Blake Snell","Rays","0.97","13543"
"Jared Hughes","Reds","1.02","9325"
"Edwin Diaz","Mariners","0.79","14710"
"Hyun-Jin Ryu","Dodgers","1.01","14444"
"Collin McHugh","Astros","0.91","7531"
"T.J. McFarland","Diamondbacks","1.19","3237"
"Clay Buchholz","Diamondbacks","1.04","3543"
"Matt Strahm","Padres","0.98","13799"
"Chris Sale","Red Sox","0.86","10603"
"Kirby Yates","Padres","0.92","9073"
"Steve Cishek","Cubs","1.04","6483"
"Josh Fields","Dodgers","0.95","5070"
"Trevor Bauer","Indians","1.09","12703"
"Dylan Floro","- - -","1.25","13394"
"Pedro Strop","Cubs","0.99","4070"
"Edubray Ramos","Phillies","1.15","16086"
"Aaron Nola","Phillies","0.97","16149"
"Raisel Iglesias","Reds","1.07","17130"
"Kyle Crick","Pirates","1.13","13182"
"Jose Alvarado","Rays","1.11","17780"
"Adam Ottavino","Rockies","0.99","1247"
"Josh Hader","Brewers","0.81","14212"
"Kelvin Herrera","- - -","1.20","6033"
"Yoshihisa Hirano","Diamondbacks","1.09","19756"
"Aroldis Chapman","Yankees","1.05","10233"
"Scott Oberg","Rockies","0.99","13911"
"Richard Rodriguez","Pirates","1.07","13549"
"Reyes Moronta","Giants","1.09","14966"
"Chad Green","Yankees","1.04","15552"
"Justin Verlander","Astros","0.90","8700"
"Max Scherzer","Nationals","0.91","3137"
"David Hernandez","Reds","0.98","4259"
"Ryan Pressly","- - -","1.11","7005"
"Will Smith","Giants","0.98","8048"
"Jesse Chavez","- - -","1.06","5448"
"Wade Miley","Brewers","1.21","8779"
"Tony Watson","Giants","1.03","3132"
"Carl Edwards Jr.","Cubs","1.31","13607"
"Walker Buehler","Dodgers","0.96","19374"
"Seung Hwan Oh","- - -","1.01","18719"
"Taylor Rogers","Twins","0.95","13449"
"Roenis Elias","Mariners","1.22","12673"
"Seth Lugo","Mets","1.08","12447"
"Steven Wright","Red Sox","1.25","8185"
"Sam Dyson","Giants","1.08","11710"
"Dellin Betances","Yankees","1.05","6216"
"Felipe Vazquez","Pirates","1.24","12076"
"Jose Alvarez","Angels","1.16","5358"
"Victor Arano","Phillies","1.20","15915"
"Clayton Kershaw","Dodgers","1.04","2036"
"Craig Stammen","Padres","1.04","7274"
"Craig Kimbrel","Red Sox","0.99","6655"
"Brad Hand","- - -","1.11","9111"
"Dereck Rodriguez","Giants","1.13","14509"
"Miles Mikolas","Cardinals","1.07","9803"
"Anibal Sanchez","Braves","1.08","3284"
"Kyle Freeland","Rockies","1.25","16256"
"Mike Foltynewicz","Braves","1.08","10811"
"Shane Carle","Braves","1.22","15258"
"Matt Grace","Nationals","1.14","11449"
"Gerrit Cole","Astros","1.03","13125"
"Pedro Baez","Dodgers","1.22","5420"
"James Pazos","Mariners","1.24","13323"
"Corey Kluber","Indians","0.99","2429"
"Lou Trivino","Athletics","1.14","15043"
"Shawn Kelley","- - -","0.90","7773"
"Seranthony Dominguez","Phillies","0.93","19249"
"Ryne Stanek","Rays","1.09","15947"
"Yusmeiro Petit","Athletics","1.01","4020"
"Kenley Jansen","Dodgers","0.99","3096"
"Mike Clevinger","Indians","1.16","12808"
"Chris Bassitt","Athletics","1.24","12304"
"Ross Stripling","Dodgers","1.19","13273"
"Noah Syndergaard","Mets","1.21","11762"
"Alex Colome","- - -","1.18","6661"
"Brad Keller","Royals","1.30","15734"
"Zach Britton","- - -","1.23","3240"
"Andrew Chafin","Diamondbacks","1.34","12988"
"Carlos Martinez","Cardinals","1.35","11682"
"Jesse Biddle","Braves","1.27","11437"
"Michael Lorenzen","Reds","1.38","14843"
"Trevor Williams","Pirates","1.18","16977"
"Joakim Soria","- - -","1.14","6941"
"Jeurys Familia","- - -","1.22","5114"
"Charlie Morton","Astros","1.16","4676"
"Adam Warren","- - -","1.32","9029"
"Jonathan Holder","Yankees","1.09","16588"
"Patrick Corbin","Diamondbacks","1.05","9323"
"Hector Velazquez","Red Sox","1.45","19341"
"Diego Castillo","Rays","0.95","17496"
"John Brebbia","Cardinals","1.16","12777"
"Michael Wacha","Cardinals","1.23","14078"
"Hector Rondon","Astros","1.32","2391"
"Jameson Taillon","Pirates","1.18","11674"
"Zack Greinke","Diamondbacks","1.08","1943"
"Dan Jennings","Brewers","1.38","8073"
"Johnny Cueto","Giants","1.11","6893"
"A.J. Minter","Braves","1.29","18655"
"David Robertson","Yankees","1.03","8241"
"Kevin McCarthy","Royals","1.25","15240"
"Blake Parker","Angels","1.24","5224"
"Edgar Santana","Pirates","1.10","17355"
"Madison Bumgarner","Giants","1.24","5524"
"Brandon Workman","Red Sox","1.21","11428"
"Juan Minaya","White Sox","1.46","10341"
"Keone Kela","- - -","1.10","14696"
"Zack Wheeler","Mets","1.12","10310"
"Shohei Ohtani","Angels","1.16","19755"
"Jon Lester","Cubs","1.31","4930"
"Edwin Jackson","Athletics","1.22","1841"
"Jacob Barnes","Brewers","1.52","12323"
"Jack Flaherty","Cardinals","1.11","17479"
"Alex Wilson","Tigers","1.05","9239"
"Fernando Rodney","- - -","1.46","494"
"Carlos Carrasco","Indians","1.13","6632"
"Jorge De La Rosa","- - -","1.39","2047"
"Luis Severino","Yankees","1.14","15890"
"Jaime Barria","Angels","1.27","18356"
"Adam Cimber","- - -","1.24","15288"
"Dan Winkler","Braves","1.19","12237"
"Kyle Hendricks","Cubs","1.15","12049"
"Jeremy Hellickson","Nationals","1.07","4371"
"Justin Wilson","Cubs","1.43","4301"
"Brad Peacock","Astros","1.17","5401"
"John Gant","Cardinals","1.30","13684"
"Caleb Ferguson","Dodgers","1.12","19349"
"Will Harris","Astros","1.09","3192"
"Jhoulys Chacin","Brewers","1.16","2608"
"Louis Coleman","Tigers","1.31","9720"
"Yonny Chirinos","Rays","1.22","16401"
"Mike Fiers","- - -","1.18","7754"
"Blaine Hardy","Tigers","1.17","6499"
"Derek Holland","Giants","1.29","4141"
"Chaz Roe","Rays","1.01","9866"
"Corey Knebel","Brewers","1.08","15010"
"David Price","Red Sox","1.14","3184"
"Sean Manaea","Athletics","1.08","15873"
"Wander Suero","Nationals","1.22","15855"
"Bud Norris","Cardinals","1.25","9492"
"Brad Brach","- - -","1.60","6627"
"Jordan Hicks","Cardinals","1.34","19618"
"Justin Miller","Nationals","1.13","8580"
"Brandon Woodruff","Brewers","1.18","16162"
"Kyle Gibson","Twins","1.30","10123"
"Ryan Tepera","Blue Jays","1.22","10291"
"Archie Bradley","Diamondbacks","1.14","12918"
"CC Sabathia","Yankees","1.31","404"
"J.A. Happ","- - -","1.13","7410"
"Matt Barnes","Red Sox","1.26","12863"
"Garrett Richards","Angels","1.28","9784"
"Rich Hill","Dodgers","1.12","4806"
"Randy Rosario","Cubs","1.48","14508"
"Tyler Clippard","Blue Jays","1.17","5640"
"Alex Wood","Dodgers","1.21","13781"
"Scott Alexander","Dodgers","1.27","10591"
"Chasen Bradford","Mariners","1.29","12452"
"Hansel Robles","- - -","1.39","11801"
"Wade LeBlanc","Mariners","1.18","5221"
"Hunter Wood","Rays","1.46","15091"
"Dallas Keuchel","Astros","1.31","9434"
"Stephen Strasburg","Nationals","1.20","10131"
"Joe Smith","Astros","1.01","3281"
"Masahiro Tanaka","Yankees","1.13","15764"
"James Paxton","Mariners","1.10","11828"
"Trevor Cahill","Athletics","1.19","6249"
"German Marquez","Rockies","1.20","15038"
"Cory Gearrin","- - -","1.34","7947"
"Luis Avilan","- - -","1.37","2882"
"Cole Hamels","- - -","1.26","4972"
"Tommy Hunter","Phillies","1.25","1157"
"Cam Bedrosian","Angels","1.39","13360"
"Kenta Maeda","Dodgers","1.26","18498"
"Nathan Eovaldi","- - -","1.13","9132"
"Matt Magill","Twins","1.43","3950"
"Eduardo Rodriguez","Red Sox","1.26","13164"
"Adam Morgan","Phillies","1.44","12580"
"Jim Johnson","Angels","1.36","3656"
"Jose Berrios","Twins","1.14","14168"
"Lance McCullers Jr.","Astros","1.17","14120"
"Ryan Borucki","Blue Jays","1.32","16350"
"Frankie Montas","Athletics","1.46","14309"
"Sean Newcomb","Braves","1.33","16943"
"Drew Steckenrider","Marlins","1.27","18806"
"Ryan Yarbrough","Rays","1.29","16502"
"Brad Ziegler","- - -","1.30","7293"
"Reynaldo Lopez","White Sox","1.27","16400"
"Kevin Gausman","- - -","1.30","14107"
"Robbie Ray","Diamondbacks","1.35","11486"
"Chase Anderson","Brewers","1.19","6895"
"Chasen Shreve","- - -","1.52","10855"
"Julio Teheran","Braves","1.17","6797"
"Jake Arrieta","Phillies","1.29","4153"
"Miguel Castro","Orioles","1.45","15684"
"Hunter Strickland","Giants","1.41","7836"
"Steven Matz","Mets","1.25","13361"
"Cody Reed","Reds","1.40","15232"
"Jose Urena","Marlins","1.18","11589"
"Mychal Givens","Orioles","1.19","10430"
"Mike Montgomery","Cubs","1.37","4869"
"Nick Vincent","Mariners","1.15","7555"
"Marco Gonzales","Mariners","1.22","15467"
"Tyler Skaggs","Angels","1.33","10190"
"Jose Quintana","Cubs","1.32","11423"
"Brian Flynn","Royals","1.61","12027"
"Daniel Mengden","Athletics","1.12","16980"
"Joe Musgrove","Pirates","1.18","12970"
"Justin Anderson","Angels","1.48","16201"
"Joey Lucchesi","Padres","1.29","19320"
"Junior Guerra","Brewers","1.40","5702"
"Adam Conley","Marlins","1.09","14457"
"Jordan Lyles","- - -","1.27","7593"
"Daniel Hudson","Dodgers","1.22","7146"
"Dan Straily","Marlins","1.30","9460"
"Wade Davis","Rockies","1.06","7441"
"Pablo Lopez","Marlins","1.26","17085"
"Sergio Romo","Rays","1.26","9817"
"Tyson Ross","- - -","1.30","7872"
"Andrew Heaney","Angels","1.20","15423"
"Matt Koch","Diamondbacks","1.27","13420"
"Buck Farmer","Tigers","1.56","14814"
"Zach Duke","- - -","1.50","3840"
"Brian Johnson","Red Sox","1.43","14272"
"Felix Pena","Angels","1.24","13403"
"Carlos Rodon","White Sox","1.26","16137"
"Chris Devenski","Astros","1.16","12763"
"Mike Minor","Rangers","1.12","10021"
"Thomas Pannone","Blue Jays","1.21","17281"
"Caleb Smith","Marlins","1.24","14875"
"Ivan Nova","Pirates","1.28","1994"
"Heath Hembree","Red Sox","1.33","11632"
"Kyle Barraclough","Marlins","1.33","13713"
"Gio Gonzalez","- - -","1.44","7448"
"Robbie Erlin","Padres","1.14","10354"
"Taylor Williams","Brewers","1.47","14899"
"Ty Blach","Giants","1.47","14361"
"Freddy Peralta","Brewers","1.14","18679"
"Heath Fillmyer","Royals","1.34","17466"
"Tyler Glasnow","- - -","1.27","14374"
"Robert Gsellman","Mets","1.30","13696"
"Matt Wisler","- - -","1.20","12804"
"Rick Porcello","Red Sox","1.18","2717"
"Amir Garrett","Reds","1.29","14375"
"Sam Freeman","Braves","1.45","6832"
"Luis Castillo","Reds","1.22","15689"
"Chris Archer","- - -","1.38","6345"
"Joe Jimenez","Tigers","1.20","15761"
"Eric Lauer","Padres","1.54","19316"
"Tanner Roark","Nationals","1.28","8753"
"Emilio Pagan","Athletics","1.19","14771"
"Zach Eflin","Phillies","1.30","13774"
"Mike Leake","Mariners","1.30","10130"
"Phil Maton","Padres","1.54","18064"
"Jace Fry","White Sox","1.11","16159"
"Antonio Senzatela","Rockies","1.37","15488"
"Matthew Boyd","Tigers","1.16","15440"
"Joe Kelly","Red Sox","1.36","9761"
"Brad Boxberger","Diamondbacks","1.43","10133"
"Trevor Richards","Marlins","1.39","19309"
"Jakob Junis","Royals","1.28","13619"
"Luke Jackson","Braves","1.52","11752"
"Austin Gomber","Cardinals","1.51","16561"
"Brent Suter","Brewers","1.19","13942"
"Adam Wainwright","Cardinals","1.46","2233"
"Alex Claudio","Rangers","1.52","12890"
"Brett Anderson","Athletics","1.28","8223"
"Andrew Suarez","Giants","1.30","18300"
"Jake Odorizzi","Twins","1.34","6397"
"Doug Fister","Rangers","1.39","9425"
"Hector Santiago","White Sox","1.59","4026"
"Addison Reed","Twins","1.43","10586"
"Fernando Salas","Diamondbacks","1.33","4971"
"Jordan Zimmermann","Tigers","1.26","4505"
"James Shields","White Sox","1.31","7059"
"Jake Petricka","Blue Jays","1.64","10534"
"Tim Hill","Royals","1.31","16814"
"Chris Martin","Rangers","1.22","11847"
"Noe Ramirez","Angels","1.26","12800"
"Neil Ramirez","Indians","1.30","7677"
"Tyler Anderson","Rockies","1.27","12880"
"Shane Bieber","Indians","1.33","19427"
"Chad Kuhl","Pirates","1.44","14975"
"Francisco Liriano","Tigers","1.50","3201"
"Brandon Kintzler","- - -","1.47","9939"
"Steven Brault","Pirates","1.54","15291"
"Drew VerHagen","Tigers","1.15","13424"
"Harrison Musgrave","Rockies","1.30","16532"
"Ken Giles","- - -","1.21","12910"
"Austin Pruitt","Rays","1.26","15290"
"Greg Holland","- - -","1.62","7196"
"Ian Kennedy","Royals","1.38","6986"
"Fernando Romero","Twins","1.42","15885"
"Michael Fulmer","Tigers","1.31","13218"
"Cody Allen","Indians","1.36","12183"
"Mike Mayers","Cardinals","1.43","15451"
"Jake Diekman","- - -","1.50","5003"
"Nick Tropeano","Angels","1.30","12385"
"Zack Godley","Diamondbacks","1.45","14862"
"Lance Lynn","- - -","1.53","2520"
"Zach Davies","Brewers","1.33","13183"
"Nick Pivetta","Phillies","1.30","15454"
"Wei-Yin Chen","Marlins","1.34","13071"
"Vince Velasquez","Phillies","1.34","11189"
"Jerry Blevins","Mets","1.36","7841"
"Danny Duffy","Royals","1.49","3542"
"David Hess","Orioles","1.38","16130"
"Aaron Sanchez","Blue Jays","1.56","11490"
"Sonny Gray","Yankees","1.50","12768"
"Alex Cobb","Orioles","1.41","6562"
"Jarlin Garcia","Marlins","1.32","18282"
"Brandon McCarthy","Braves","1.46","4662"
"Anthony DeSclafani","Reds","1.29","13050"
"Matt Harvey","- - -","1.30","11713"
"Yu Darvish","Cubs","1.43","13074"
"Luke Weaver","Cardinals","1.50","16918"
"Tyler Mahle","Reds","1.59","16358"
"Chad Bettis","Rockies","1.40","10587"
"Jorge Lopez","- - -","1.47","14527"
"Chris Stratton","Giants","1.43","13761"
"Hector Neris","Phillies","1.30","11804"
