YearID,pop_ups,player_id,player_name,batted_balls,pitch_percent,ba,iso,hits,launch_speed,launch_angle,spin_rate,velocity,release_extension
2018,80,453286,Max Scherzer,503,15.9,0.013,0.013,1,77.5,63.1,2368,89.9,5.89
2018,69,462136,Marco Estrada,471,14.6,0.029,0.014,2,76.8,67.5,2203,83.1,5.34
2018,68,625643,Reynaldo Lopez,563,12.1,0,0,0,76.3,62.5,2038,90.7,6.12
2018,66,434378,Justin Verlander,498,13.3,0.015,0.015,1,78.6,66.3,2646,92.7,5.87
2018,65,571510,Matthew Boyd,488,13.3,0.046,0.015,3,77,61.7,2220,83.5,5.85
2018,60,543606,Jake Odorizzi,471,12.7,0.033,0,2,77.7,62,2117,87.1,5.54
2018,59,502624,Chase Anderson,452,13.1,0.034,0.017,2,76.1,62.7,2190,87.4,5.55
2018,56,448306,James Shields,630,8.9,0,0,0,78.3,63.1,2226,84.3,6.62
2018,53,501985,Mike Minor,462,11.5,0.019,0,1,76.4,63.5,2453,89,5.68
2018,51,543699,Tanner Roark,554,9.2,0,0,0,77.6,63.1,2107,89.1,5.83
2018,50,621244,Jose Berrios,521,9.6,0,0,0,74.2,61.4,2164,90.3,6.16
2018,50,282332,CC Sabathia,463,10.8,0,0,0,75.8,61,2185,86.2,6.58
2018,50,607536,Kyle Freeland,595,8.4,0.02,0.02,1,77.3,64.7,2178,89.4,6.39
2018,48,542881,Tyler Anderson,511,9.4,0,0,0,79.1,64.9,2178,87.1,5.9
2018,48,594798,Jacob deGrom,515,9.3,0,0,0,75.4,65.3,2317,93.6,6.84
2018,47,457918,J.A. Happ,479,9.8,0.021,0,1,77.9,67.5,2230,90.2,5.99
2018,47,605182,Mike Clevinger,531,8.9,0,0,0,77.1,64.9,2279,86.3,6.43
2018,46,605164,Dylan Bundy,506,9.1,0.022,0,1,78.9,61.6,2372,88.9,5.72
2018,45,456034,David Price,485,9.3,0.022,0,1,76.6,64.1,2103,89.7,5.93
2018,45,448855,Junior Guerra,415,10.8,0.067,0.022,3,77,62.6,2196,91.2,6.18
2018,44,592314,Mike Foltynewicz,467,9.4,0,0,0,77.6,65.2,2390,90.4,5.9
2018,44,571666,Mike Fiers,530,8.3,0,0,0,80.7,64,2258,88,6.05
2018,43,518633,Danny Duffy,477,9,0,0,0,75.6,62.8,2322,87.6,6.49
2018,43,468504,Jhoulys Chacin,558,7.7,0.023,0,1,77.2,61.5,2238,84.1,5.4
2018,43,453281,Wade LeBlanc,489,8.8,0.023,0,1,74.7,61.1,1856,82.8,6.07
2018,43,642545,Jaime Barria,385,11.2,0,0,0,80.4,68,2118,86.7,5.54
2018,42,543037,Gerrit Cole,452,9.3,0,0,0,81,67.7,2464,94.1,6.1
2018,42,518774,Matt Harvey,489,8.6,0.024,0.024,1,77.8,65,2177,90.4,5.9
2018,42,554430,Zack Wheeler,501,8.4,0.024,0.024,1,74.4,65.6,2241,94.1,6.87
2018,42,608337,Lucas Giolito,545,7.7,0.071,0,3,77.3,62.7,1955,86.8,6.31
2018,41,640455,Sean Manaea,506,8.1,0.024,0,1,78.3,63.6,1804,87.5,6.55
2018,41,622663,Luis Severino,509,8.1,0.024,0,1,77.5,62.8,2425,93.1,6.08
2018,41,571760,Andrew Heaney,516,7.9,0.024,0,1,74.6,65.4,2329,88.5,5.74
2018,40,527054,Julio Teheran,469,8.5,0,0,0,79.1,66.3,2279,86.4,5.92
2018,40,592826,Vince Velasquez,402,10,0.025,0,1,77.4,63,2324,91.3,6.27
2018,40,612672,Wei-Yin Chen,412,9.7,0,0,0,77.4,66,2026,88.9,6.06
2018,40,502706,Derek Holland,487,8.2,0.075,0.05,3,75.7,63.2,2256,87.3,5.79
2018,39,642232,Ryan Yarbrough,442,8.8,0.026,0,1,75,63,2117,84.3,5.86
2018,39,571945,Miles Mikolas,626,6.2,0.026,0,1,75.4,62.3,2335,89,6.1
2018,39,461829,Gio Gonzalez,516,7.6,0.026,0,1,75.7,62.7,2089,87.7,5.91
2018,39,573185,Dan Straily,360,10.8,0.026,0,1,78.9,66.6,2344,87.8,6.01
2018,38,502327,Hector Santiago,292,13,0,0,0,79,63.2,2082,87.8,5.59
2018,38,477132,Clayton Kershaw,462,8.2,0.026,0,1,75.9,59.4,2421,88.9,6.25
2018,38,605400,Aaron Nola,542,7,0.026,0,1,78.4,63.5,2130,88.5,6.57
2018,37,596001,Jakob Junis,536,6.9,0,0,0,75.4,61.3,2173,87.6,5.72
2018,37,448179,Rich Hill,348,10.6,0,0,0,76.7,66.1,2592,83,5.98
2018,37,592866,Trevor Williams,516,7.2,0,0,0,72.9,60.5,2086,88.5,6.62
2018,36,605276,David Hess,335,10.7,0.028,0.028,1,78,66.4,2165,84.7,5.43
2018,36,519144,Rick Porcello,554,6.5,0,0,0,77.7,64.7,2319,87.5,6
